query_id Q0 doc_id rank Lucene_score system_name
8 Q0 54.txt 1.  score=0.69308627 VSMLucene
8 Q0 55.txt 2.  score=0.6471884 VSMLucene
8 Q0 37.txt 3.  score=0.1733923 VSMLucene
8 Q0 838.txt 4.  score=0.11253713 VSMLucene
8 Q0 82.txt 5.  score=0.10727228 VSMLucene
8 Q0 52.txt 6.  score=0.097993806 VSMLucene
8 Q0 707.txt 7.  score=0.04287229 VSMLucene
8 Q0 817.txt 8.  score=0.03930195 VSMLucene
8 Q0 56.txt 9.  score=0.03930195 VSMLucene
8 Q0 717.txt 10.  score=0.031441562 VSMLucene
8 Q0 398.txt 11.  score=0.031441562 VSMLucene
8 Q0 841.txt 12.  score=0.031033754 VSMLucene
8 Q0 28.txt 13.  score=0.030721849 VSMLucene
8 Q0 770.txt 14.  score=0.027511364 VSMLucene
8 Q0 96.txt 15.  score=0.027511364 VSMLucene
8 Q0 672.txt 16.  score=0.026333015 VSMLucene
8 Q0 389.txt 17.  score=0.026333015 VSMLucene
8 Q0 825.txt 18.  score=0.026333015 VSMLucene
8 Q0 210.txt 19.  score=0.026333015 VSMLucene
8 Q0 584.txt 20.  score=0.026333015 VSMLucene
8 Q0 679.txt 21.  score=0.026333015 VSMLucene
8 Q0 688.txt 22.  score=0.023697099 VSMLucene
8 Q0 99.txt 23.  score=0.023697099 VSMLucene
8 Q0 43.txt 24.  score=0.023697099 VSMLucene
8 Q0 236.txt 25.  score=0.023697099 VSMLucene
8 Q0 105.txt 26.  score=0.021944178 VSMLucene
8 Q0 662.txt 27.  score=0.021944178 VSMLucene
8 Q0 546.txt 28.  score=0.021944178 VSMLucene
8 Q0 990.txt 29.  score=0.021723628 VSMLucene
8 Q0 19.txt 30.  score=0.019650975 VSMLucene
8 Q0 729.txt 31.  score=0.017555343 VSMLucene
8 Q0 808.txt 32.  score=0.017555343 VSMLucene
8 Q0 559.txt 33.  score=0.017555343 VSMLucene
8 Q0 172.txt 34.  score=0.017555343 VSMLucene
8 Q0 781.txt 35.  score=0.017555343 VSMLucene
8 Q0 67.txt 36.  score=0.01658797 VSMLucene
8 Q0 326.txt 37.  score=0.015720781 VSMLucene
8 Q0 968.txt 38.  score=0.015360924 VSMLucene
8 Q0 621.txt 39.  score=0.015360924 VSMLucene
8 Q0 768.txt 40.  score=0.015360924 VSMLucene
8 Q0 730.txt 41.  score=0.015360924 VSMLucene
8 Q0 184.txt 42.  score=0.014720602 VSMLucene
8 Q0 444.txt 43.  score=0.01421826 VSMLucene
8 Q0 758.txt 44.  score=0.013166508 VSMLucene
8 Q0 183.txt 45.  score=0.013166508 VSMLucene
8 Q0 864.txt 46.  score=0.013166508 VSMLucene
8 Q0 989.txt 47.  score=0.012413502 VSMLucene
8 Q0 34.txt 48.  score=0.012413502 VSMLucene
8 Q0 463.txt 49.  score=0.011790585 VSMLucene
8 Q0 710.txt 50.  score=0.011402529 VSMLucene
8 Q0 868.txt 51.  score=0.010972089 VSMLucene
8 Q0 10.txt 52.  score=0.010972089 VSMLucene
8 Q0 327.txt 53.  score=0.010972089 VSMLucene
8 Q0 320.txt 54.  score=0.010861814 VSMLucene
8 Q0 5.txt 55.  score=0.009825488 VSMLucene
8 Q0 699.txt 56.  score=0.0087776715 VSMLucene
8 Q0 270.txt 57.  score=0.0087776715 VSMLucene
8 Q0 266.txt 58.  score=0.0087776715 VSMLucene
8 Q0 81.txt 59.  score=0.0087776715 VSMLucene
8 Q0 83.txt 60.  score=0.0087776715 VSMLucene
8 Q0 709.txt 61.  score=0.0087776715 VSMLucene
8 Q0 665.txt 62.  score=0.0077584386 VSMLucene
8 Q0 305.txt 63.  score=0.0077584386 VSMLucene
8 Q0 329.txt 64.  score=0.007680462 VSMLucene
8 Q0 168.txt 65.  score=0.007680462 VSMLucene
8 Q0 379.txt 66.  score=0.007680462 VSMLucene
8 Q0 378.txt 67.  score=0.007680462 VSMLucene
8 Q0 451.txt 68.  score=0.007680462 VSMLucene
8 Q0 296.txt 69.  score=0.007680462 VSMLucene
8 Q0 33.txt 70.  score=0.007680462 VSMLucene
8 Q0 694.txt 71.  score=0.007680462 VSMLucene
8 Q0 664.txt 72.  score=0.006583254 VSMLucene
8 Q0 661.txt 73.  score=0.006583254 VSMLucene
8 Q0 375.txt 74.  score=0.006583254 VSMLucene
8 Q0 209.txt 75.  score=0.006583254 VSMLucene
8 Q0 91.txt 76.  score=0.006583254 VSMLucene
8 Q0 691.txt 77.  score=0.006583254 VSMLucene
8 Q0 666.txt 78.  score=0.0054860446 VSMLucene
8 Q0 205.txt 79.  score=0.0054860446 VSMLucene
8 Q0 690.txt 80.  score=0.0054860446 VSMLucene
8 Q0 325.txt 81.  score=0.0054860446 VSMLucene
8 Q0 324.txt 82.  score=0.0054860446 VSMLucene
