query_id Q0 doc_id rank Lucene_score system_name
7 Q0 70.txt 1.  score=0.653826 VSMLucene
7 Q0 67.txt 2.  score=0.5168582 VSMLucene
7 Q0 52.txt 3.  score=0.426496 VSMLucene
7 Q0 65.txt 4.  score=0.34519815 VSMLucene
7 Q0 69.txt 5.  score=0.2744639 VSMLucene
7 Q0 19.txt 6.  score=0.2621998 VSMLucene
7 Q0 248.txt 7.  score=0.16428694 VSMLucene
7 Q0 68.txt 8.  score=0.1617294 VSMLucene
7 Q0 250.txt 9.  score=0.1593475 VSMLucene
7 Q0 76.txt 10.  score=0.14081737 VSMLucene
7 Q0 56.txt 11.  score=0.13409895 VSMLucene
7 Q0 71.txt 12.  score=0.12938352 VSMLucene
7 Q0 55.txt 13.  score=0.12938352 VSMLucene
7 Q0 980.txt 14.  score=0.12306475 VSMLucene
7 Q0 269.txt 15.  score=0.11892751 VSMLucene
7 Q0 386.txt 16.  score=0.11712746 VSMLucene
7 Q0 54.txt 17.  score=0.114359945 VSMLucene
7 Q0 62.txt 18.  score=0.112049416 VSMLucene
7 Q0 37.txt 19.  score=0.10697394 VSMLucene
7 Q0 60.txt 20.  score=0.09703764 VSMLucene
7 Q0 91.txt 21.  score=0.094668105 VSMLucene
7 Q0 249.txt 22.  score=0.093878254 VSMLucene
7 Q0 64.txt 23.  score=0.093878254 VSMLucene
7 Q0 58.txt 24.  score=0.09229856 VSMLucene
7 Q0 53.txt 25.  score=0.09229856 VSMLucene
7 Q0 444.txt 26.  score=0.07040869 VSMLucene
7 Q0 143.txt 27.  score=0.06861597 VSMLucene
7 Q0 7.txt 28.  score=0.06861597 VSMLucene
7 Q0 520.txt 29.  score=0.06469176 VSMLucene
7 Q0 51.txt 30.  score=0.05660529 VSMLucene
7 Q0 99.txt 31.  score=0.05438745 VSMLucene
7 Q0 57.txt 32.  score=0.051143326 VSMLucene
7 Q0 255.txt 33.  score=0.051143326 VSMLucene
7 Q0 96.txt 34.  score=0.04902162 VSMLucene
7 Q0 63.txt 35.  score=0.04851882 VSMLucene
7 Q0 496.txt 36.  score=0.04851882 VSMLucene
7 Q0 164.txt 37.  score=0.04614928 VSMLucene
7 Q0 265.txt 38.  score=0.04574398 VSMLucene
7 Q0 497.txt 39.  score=0.04574398 VSMLucene
7 Q0 509.txt 40.  score=0.04574398 VSMLucene
7 Q0 12.txt 41.  score=0.042018533 VSMLucene
7 Q0 275.txt 42.  score=0.04043235 VSMLucene
7 Q0 847.txt 43.  score=0.04043235 VSMLucene
7 Q0 13.txt 44.  score=0.04043235 VSMLucene
7 Q0 105.txt 45.  score=0.04043235 VSMLucene
7 Q0 751.txt 46.  score=0.04043235 VSMLucene
7 Q0 681.txt 47.  score=0.04043235 VSMLucene
7 Q0 49.txt 48.  score=0.040025983 VSMLucene
7 Q0 240.txt 49.  score=0.036163792 VSMLucene
7 Q0 326.txt 50.  score=0.036163792 VSMLucene
7 Q0 982.txt 51.  score=0.03466352 VSMLucene
7 Q0 315.txt 52.  score=0.034307986 VSMLucene
7 Q0 374.txt 53.  score=0.034307986 VSMLucene
7 Q0 20.txt 54.  score=0.03263247 VSMLucene
7 Q0 844.txt 55.  score=0.03234588 VSMLucene
7 Q0 77.txt 56.  score=0.03234588 VSMLucene
7 Q0 81.txt 57.  score=0.03234588 VSMLucene
7 Q0 78.txt 58.  score=0.03234588 VSMLucene
7 Q0 25.txt 59.  score=0.03234588 VSMLucene
7 Q0 247.txt 60.  score=0.03234588 VSMLucene
7 Q0 659.txt 61.  score=0.028589986 VSMLucene
7 Q0 10.txt 62.  score=0.028589986 VSMLucene
7 Q0 82.txt 63.  score=0.028012354 VSMLucene
7 Q0 35.txt 64.  score=0.028012354 VSMLucene
7 Q0 36.txt 65.  score=0.028012354 VSMLucene
7 Q0 187.txt 66.  score=0.02425941 VSMLucene
7 Q0 765.txt 67.  score=0.02287199 VSMLucene
7 Q0 83.txt 68.  score=0.02287199 VSMLucene
7 Q0 691.txt 69.  score=0.021009266 VSMLucene
7 Q0 239.txt 70.  score=0.020216174 VSMLucene
7 Q0 80.txt 71.  score=0.020216174 VSMLucene
7 Q0 79.txt 72.  score=0.020216174 VSMLucene
7 Q0 233.txt 73.  score=0.020216174 VSMLucene
7 Q0 185.txt 74.  score=0.020216174 VSMLucene
7 Q0 383.txt 75.  score=0.020012992 VSMLucene
7 Q0 721.txt 76.  score=0.017153993 VSMLucene
7 Q0 738.txt 77.  score=0.01617294 VSMLucene
7 Q0 148.txt 78.  score=0.01617294 VSMLucene
7 Q0 380.txt 79.  score=0.014151323 VSMLucene
7 Q0 293.txt 80.  score=0.014151323 VSMLucene
7 Q0 723.txt 81.  score=0.014151323 VSMLucene
7 Q0 39.txt 82.  score=0.012129705 VSMLucene
7 Q0 666.txt 83.  score=0.010108087 VSMLucene
7 Q0 407.txt 84.  score=0.010108087 VSMLucene
7 Q0 5.txt 85.  score=0.010108087 VSMLucene
